t_sec,phase,step_idx,v_z_cmd_ENU,v_z_cmd_NED_z,odom_frame,z_ENU,vz_ENU_meas,vz_NED_meas,alt_min,alt_max,armed,offboard
1761725772.704292,STEP,0,0.500000,-0.500000,odom,1.744184,0.000000,-0.474134,0.500,5.000,1,1
1761725772.724481,STEP,0,0.500000,-0.500000,odom,1.744184,0.000000,-0.474134,0.500,5.000,1,1
1761725772.744964,STEP,0,0.500000,-0.500000,odom,1.744184,0.000000,-0.474396,0.500,5.000,1,1
1761725772.765705,STEP,0,0.500000,-0.500000,odom,1.744184,0.000000,-0.474515,0.500,5.000,1,1
1761725772.784725,STEP,0,0.500000,-0.500000,odom,1.759962,0.295831,-0.474515,0.500,5.000,1,1
1761725772.804322,STEP,0,0.500000,-0.500000,odom,1.759962,0.000000,-0.474515,0.500,5.000,1,1
1761725772.824335,STEP,0,0.500000,-0.500000,odom,1.759962,0.000000,-0.474515,0.500,5.000,1,1
1761725772.844596,STEP,0,0.500000,-0.500000,odom,1.759962,0.000000,-0.474515,0.500,5.000,1,1
1761725772.865650,STEP,0,0.500000,-0.500000,odom,1.759962,0.000000,-0.474515,0.500,5.000,1,1
1761725772.884384,STEP,0,0.500000,-0.500000,odom,1.759962,0.000000,-0.474515,0.500,5.000,1,1
1761725772.904437,STEP,0,0.500000,-0.500000,odom,1.759962,0.000000,-0.474515,0.500,5.000,1,1
1761725772.924448,STEP,0,0.500000,-0.500000,odom,1.759962,0.000000,-0.474515,0.500,5.000,1,1
1761725772.947650,STEP,0,0.500000,-0.500000,odom,1.759962,0.000000,-0.474570,0.500,5.000,1,1
1761725772.964360,STEP,0,0.500000,-0.500000,odom,1.759962,0.000000,-0.474631,0.500,5.000,1,1
1761725772.985953,STEP,0,0.500000,-0.500000,odom,1.775724,0.394046,-0.474691,0.500,5.000,1,1
1761725773.004613,STEP,0,0.500000,-0.500000,odom,1.775724,0.000000,-0.474691,0.500,5.000,1,1
1761725773.024436,STEP,0,0.500000,-0.500000,odom,1.775724,0.000000,-0.474691,0.500,5.000,1,1
1761725773.044383,STEP,0,0.500000,-0.500000,odom,1.775724,0.000000,-0.474691,0.500,5.000,1,1
1761725773.064648,STEP,0,0.500000,-0.500000,odom,1.775724,0.000000,-0.474691,0.500,5.000,1,1
1761725773.087682,STEP,0,0.500000,-0.500000,odom,1.775724,0.000000,-0.474691,0.500,5.000,1,1
1761725773.104426,STEP,0,0.500000,-0.500000,odom,1.775724,0.000000,-0.474691,0.500,5.000,1,1
1761725773.124321,STEP,0,0.500000,-0.500000,odom,1.775724,0.000000,-0.474691,0.500,5.000,1,1
1761725773.144319,STEP,0,0.500000,-0.500000,odom,1.775724,0.000000,-0.474691,0.500,5.000,1,1
1761725773.164571,STEP,0,0.500000,-0.500000,odom,1.775724,0.000000,-0.474720,0.500,5.000,1,1
